freq,statinfo,unit,isced11,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1683 	1866 	2112 	2374 	2402 	2884 	3665 	: 	: 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,AT	15075 	16221 	16254 	16359 	16839 	17767 b	19022 	19110 	20206 	20213 	20302 	20809 	20788 	20688 	21786 	22337 	23492 	22914 	23077 	22830 	26926 	28560 	29672 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,BE	14551 	13888 	15279 	15742 	16069 	16374 	17127 	16788 	16810 	16733 	17598 	17562 	17439 	17735 	17740 	18264 	19810 b	20572 	20649 	20935 	22253 	24217 	25450 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,BG	: 	: 	: 	1105 	1155 	1970 	2358 	2245 	2021 	2102 	2096 	2268 	2425 	2091 b	2352 	2494 	2797 	3049 	3731 	3475 	4083 	5020 	6084 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,CH	: 	: 	: 	: 	27624 	26267 	26954 	27858 	30348 	34283 	36159 	34212 b	35357 	39962 	38703 	37508 	37013 	37346 	42256 	40298 	44177 	43683 	: 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,CY	: 	: 	12506 	13678 	14872 	15085 b	15727 	15148 	16113 	15779 	14804 	13893 	12664 	12697 	13054 	13418 	14752 	14625 	15613 	15628 	17287 	20512 	20776 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,CZ	: 	: 	3915 	4389 	4977 	5555 	6554 	6396 	6757 	6905 	6683 	6592 	6324 	6605 	7214 	7764 	8660 	9151 	9393 	10504 	11384 	12469 	12857 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,DE	: 	: 	17080 	16294 	16399 	17576 	17037 	16761 	16759 	17277 	17191 	16602 	17161 	16932 	17899 	18702 	18829 	24459 b	22563 	22327 	23600 	24252 	25143 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,DK	21521 	21285 	21467 	22751 	22629 	24306 	24079 	26104 	27762 b	26100 	26827 	28339 	28940 	28804 	28350 	31130 	34097 	28745 	30390 	31147 	33201 	34238 	35145 
A,MEAN_EI,EUR,ED0-2,F,Y18-64,EA	: 	: 	: 	: 	: 	15629 e	15656 e	15743 e	15350 e	15337 e	14924 e	14619 e	14624 e	14733 e	15282 e	15852 e	16053 	17426 b	17211 	: 	: 	: 	: 
